2013-09-22 12:52:47 [INFO] Preparing spawn area: 74%
2013-09-22 12:52:48 [INFO] Preparing spawn area: 79%
2013-09-22 12:52:49 [INFO] Preparing spawn area: 82%
2013-09-22 12:52:50 [INFO] Preparing spawn area: 90%
2013-09-22 12:52:52 [INFO] Done (180.257s)! For help, type "help" or "?"
2013-09-22 12:53:15 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2013-09-22 12:53:21 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2013-09-22 12:55:40 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2013-09-22 13:09:49 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2013-09-22 14:01:42 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2013-09-22 15:23:03 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2013-09-22 16:42:59 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2013-09-22 17:03:07 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2013-09-22 17:03:14 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2013-09-22 17:46:38 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2013-09-22 17:46:48 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
